product_name,color,category,price,currency,materials,source_url,style_folder,num_images
All About Medium Cosmetic Pouch,Clear,Accessories > All Bags,29,USD,,https://athleta.gap.com/browse/product.do?pid=408463042,06_ALL_ABOUT_MEDIUM_COSMETIC_POUCH,3
All About Small Cosmetic Pouch,Black,Accessories > All Bags,15,USD,,https://athleta.gap.com/browse/product.do?pid=408530002,07_ALL_ABOUT_SMALL_COSMETIC_POUCH,3
All About Small Cosmetic Pouch,Siren,Accessories > All Bags,15,USD,,https://athleta.gap.com/browse/product.do?pid=408530232,07_ALL_ABOUT_SMALL_COSMETIC_POUCH,2
Breezy Tank,Solstice,Tops > Tank Tops,26.4,USD,,https://athleta.gap.com/browse/product.do?pid=384043632,04_BREEZY_TANK,6
All About Large Cosmetic Pouch,Black,Accessories > All Bags,21,USD,,https://athleta.gap.com/browse/product.do?pid=408461002,05_ALL_ABOUT_LARGE_COSMETIC_POUCH,3
Athleta Sateen Cap,Black,Accessories > All Accessories,23.4,USD,,https://athleta.gap.com/browse/product.do?pid=408914032,08_ATHLETA_SATEEN_CAP,4
Essential V-Neck Tee,Bright White,Tops > Short Sleeve Tops,12.97,USD,,https://athleta.gap.com/browse/product.do?pid=413154022,10_ESSENTIAL_V_NECK_TEE,6
Elation Ultra High Rise Rib Legging,Black Rib,Bottoms > Leggings,89,USD,,https://athleta.gap.com/browse/product.do?pid=410342012,09_ELATION_ULTRA_HIGH_RISE_RIB_LEGGING,6
Essential V-Neck Tee,Navy,Tops > Short Sleeve Tops,12.97,USD,,https://athleta.gap.com/browse/product.do?pid=413154112,10_ESSENTIAL_V_NECK_TEE,6
Transcend Scoop Sports Bra A-C,Black,Bras > All Sports Bras,22.5,USD,,https://athleta.gap.com/browse/product.do?pid=413241002,11_TRANSCEND_SCOOP_SPORTS_BRA_A_C,4
Transcend Scoop Sports Bra A-C,Willow,Bras > All Sports Bras,29.99,USD,,https://athleta.gap.com/browse/product.do?pid=413241332,11_TRANSCEND_SCOOP_SPORTS_BRA_A_C,4
Transcend Scoop Sports Bra A-C,Coastal Teal,Bras > All Sports Bras,29.99,USD,,https://athleta.gap.com/browse/product.do?pid=413241412,11_TRANSCEND_SCOOP_SPORTS_BRA_A_C,4
Transcend Scoop Sports Bra A-C,Waterfall,Bras > All Sports Bras,29.99,USD,,https://athleta.gap.com/browse/product.do?pid=413241422,11_TRANSCEND_SCOOP_SPORTS_BRA_A_C,5
Transcend Scoop Sports Bra A-C,Palmetto,Bras > All Sports Bras,29.99,USD,,https://athleta.gap.com/browse/product.do?pid=413241472,11_TRANSCEND_SCOOP_SPORTS_BRA_A_C,5
